ref,comp,column,ref_salary,comp_salary,per_diff
Romania,Spain,country,70500,86000,0.219858156
Romania,Chile,country,70500,90000,0.276595745
Romania,Mexico,country,70500,103750,0.471631206
Romania,Colombia,country,70500,104500,0.482269504
Romania,Canada,country,70500,117250,0.663120567
Romania,Costa Rica,country,70500,115500,0.638297872
Romania,Poland,country,70500,120500,0.709219858
Spain,Romania,country,86000,70500,-0.180232558
Spain,Chile,country,86000,90000,0.046511628
Spain,Mexico,country,86000,103750,0.206395349
Spain,Colombia,country,86000,104500,0.215116279
Spain,Canada,country,86000,117250,0.363372093
Spain,Costa Rica,country,86000,115500,0.343023256
Spain,Poland,country,86000,120500,0.401162791
Chile,Romania,country,90000,70500,-0.216666667
Chile,Spain,country,90000,86000,-0.044444444
Chile,Mexico,country,90000,103750,0.152777778
Chile,Colombia,country,90000,104500,0.161111111
Chile,Canada,country,90000,117250,0.302777778
Chile,Costa Rica,country,90000,115500,0.283333333
Chile,Poland,country,90000,120500,0.338888889
Mexico,Romania,country,103750,70500,-0.320481928
Mexico,Spain,country,103750,86000,-0.171084337
Mexico,Chile,country,103750,90000,-0.13253012
Mexico,Colombia,country,103750,104500,0.007228916
Mexico,Canada,country,103750,117250,0.130120482
Mexico,Costa Rica,country,103750,115500,0.113253012
Mexico,Poland,country,103750,120500,0.161445783
Colombia,Romania,country,104500,70500,-0.325358852
Colombia,Spain,country,104500,86000,-0.177033493
Colombia,Chile,country,104500,90000,-0.138755981
Colombia,Mexico,country,104500,103750,-0.007177033
Colombia,Canada,country,104500,117250,0.122009569
Colombia,Costa Rica,country,104500,115500,0.105263158
Colombia,Poland,country,104500,120500,0.153110048
Canada,Romania,country,117250,70500,-0.398720682
Canada,Spain,country,117250,86000,-0.26652452
Canada,Chile,country,117250,90000,-0.232409382
Canada,Mexico,country,117250,103750,-0.115138593
Canada,Colombia,country,117250,104500,-0.108742004
Canada,Costa Rica,country,117250,115500,-0.014925373
Canada,Poland,country,117250,120500,0.02771855
Costa Rica,Romania,country,115500,70500,-0.38961039
Costa Rica,Spain,country,115500,86000,-0.255411255
Costa Rica,Chile,country,115500,90000,-0.220779221
Costa Rica,Mexico,country,115500,103750,-0.101731602
Costa Rica,Colombia,country,115500,104500,-0.095238095
Costa Rica,Canada,country,115500,117250,0.015151515
Costa Rica,Poland,country,115500,120500,0.043290043
Poland,Romania,country,120500,70500,-0.414937759
Poland,Spain,country,120500,86000,-0.286307054
Poland,Chile,country,120500,90000,-0.253112033
Poland,Mexico,country,120500,103750,-0.139004149
Poland,Colombia,country,120500,104500,-0.132780083
Poland,Canada,country,120500,117250,-0.026970954
Poland,Costa Rica,country,120500,115500,-0.041493776
full_time,contract,employment_type,80151.54135,90150,0.124744434
contract,full_time,employment_type,90150,80151.54135,-0.110909136
TWO_FIVE,TEN_PLUS,yoe,86834,140471,0.617695833
TWO_FIVE,FIVE_TEN,yoe,86834,107500,0.237994334
TWO_FIVE,ZERO_TWO,yoe,86834,65920,-0.240850358
TEN_PLUS,TWO_FIVE,yoe,140471,86834,-0.38183682
TEN_PLUS,FIVE_TEN,yoe,140471,107500,-0.234717486
TEN_PLUS,ZERO_TWO,yoe,140471,65920,-0.530721644
FIVE_TEN,TWO_FIVE,yoe,107500,86834,-0.19224186
FIVE_TEN,TEN_PLUS,yoe,107500,140471,0.306706977
FIVE_TEN,ZERO_TWO,yoe,107500,65920,-0.386790698
ZERO_TWO,TWO_FIVE,yoe,65920,86834,0.31726335
ZERO_TWO,TEN_PLUS,yoe,65920,140471,1.130931432
ZERO_TWO,FIVE_TEN,yoe,65920,107500,0.630764563
Product Management,Data Analyst,role,90000,85000,-0.055555556
Product Management,Designer,role,90000,85125,-0.054166667
Product Management,Backend,role,90000,100500,0.116666667
Product Management,Automation QA,role,90000,101500,0.127777778
Product Management,Full Stack,role,90000,100500,0.116666667
Product Management,Frontend,role,90000,100500,0.116666667
Product Management,Mobile,role,90000,100375,0.115277778
Product Management,DevOps,role,90000,109750,0.219444444
Product Management,Data Engineer,role,90000,112750,0.252777778
Product Management,AI/ML,role,90000,107750,0.197222222
Data Analyst,Product Management,role,85000,90000,0.058823529
Data Analyst,Designer,role,85000,85125,0.001470588
Data Analyst,Backend,role,85000,100500,0.182352941
Data Analyst,Automation QA,role,85000,101500,0.194117647
Data Analyst,Full Stack,role,85000,100500,0.182352941
Data Analyst,Frontend,role,85000,100500,0.182352941
Data Analyst,Mobile,role,85000,100375,0.180882353
Data Analyst,DevOps,role,85000,109750,0.291176471
Data Analyst,Data Engineer,role,85000,112750,0.326470588
Data Analyst,AI/ML,role,85000,107750,0.267647059
Designer,Product Management,role,85125,90000,0.057268722
Designer,Data Analyst,role,85125,85000,-0.001468429
Designer,Backend,role,85125,100500,0.18061674
Designer,Automation QA,role,85125,101500,0.19236417
Designer,Full Stack,role,85125,100500,0.18061674
Designer,Frontend,role,85125,100500,0.18061674
Designer,Mobile,role,85125,100375,0.179148311
Designer,DevOps,role,85125,109750,0.28928047
Designer,Data Engineer,role,85125,112750,0.324522761
Designer,AI/ML,role,85125,107750,0.265785609
Backend,Product Management,role,100500,90000,-0.104477612
Backend,Data Analyst,role,100500,85000,-0.154228856
Backend,Designer,role,100500,85125,-0.152985075
Backend,Automation QA,role,100500,101500,0.009950249
Backend,Full Stack,role,100500,100500,0
Backend,Frontend,role,100500,100500,0
Backend,Mobile,role,100500,100375,-0.001243781
Backend,DevOps,role,100500,109750,0.092039801
Backend,Data Engineer,role,100500,112750,0.121890547
Backend,AI/ML,role,100500,107750,0.072139303
Automation QA,Product Management,role,101500,90000,-0.113300493
Automation QA,Data Analyst,role,101500,85000,-0.162561576
Automation QA,Designer,role,101500,85125,-0.161330049
Automation QA,Backend,role,101500,100500,-0.009852217
Automation QA,Full Stack,role,101500,100500,-0.009852217
Automation QA,Frontend,role,101500,100500,-0.009852217
Automation QA,Mobile,role,101500,100375,-0.011083744
Automation QA,DevOps,role,101500,109750,0.081280788
Automation QA,Data Engineer,role,101500,112750,0.110837438
Automation QA,AI/ML,role,101500,107750,0.061576355
Full Stack,Product Management,role,100500,90000,-0.104477612
Full Stack,Data Analyst,role,100500,85000,-0.154228856
Full Stack,Designer,role,100500,85125,-0.152985075
Full Stack,Backend,role,100500,100500,0
Full Stack,Automation QA,role,100500,101500,0.009950249
Full Stack,Frontend,role,100500,100500,0
Full Stack,Mobile,role,100500,100375,-0.001243781
Full Stack,DevOps,role,100500,109750,0.092039801
Full Stack,Data Engineer,role,100500,112750,0.121890547
Full Stack,AI/ML,role,100500,107750,0.072139303
Frontend,Product Management,role,100500,90000,-0.104477612
Frontend,Data Analyst,role,100500,85000,-0.154228856
Frontend,Designer,role,100500,85125,-0.152985075
Frontend,Backend,role,100500,100500,0
Frontend,Automation QA,role,100500,101500,0.009950249
Frontend,Full Stack,role,100500,100500,0
Frontend,Mobile,role,100500,100375,-0.001243781
Frontend,DevOps,role,100500,109750,0.092039801
Frontend,Data Engineer,role,100500,112750,0.121890547
Frontend,AI/ML,role,100500,107750,0.072139303
Mobile,Product Management,role,100375,90000,-0.103362391
Mobile,Data Analyst,role,100375,85000,-0.153175592
Mobile,Designer,role,100375,85125,-0.151930262
Mobile,Backend,role,100375,100500,0.00124533
Mobile,Automation QA,role,100375,101500,0.01120797
Mobile,Full Stack,role,100375,100500,0.00124533
Mobile,Frontend,role,100375,100500,0.00124533
Mobile,DevOps,role,100375,109750,0.093399751
Mobile,Data Engineer,role,100375,112750,0.123287671
Mobile,AI/ML,role,100375,107750,0.073474471
DevOps,Product Management,role,109750,90000,-0.179954442
DevOps,Data Analyst,role,109750,85000,-0.225512528
DevOps,Designer,role,109750,85125,-0.224373576
DevOps,Backend,role,109750,100500,-0.08428246
DevOps,Automation QA,role,109750,101500,-0.075170843
DevOps,Full Stack,role,109750,100500,-0.08428246
DevOps,Frontend,role,109750,100500,-0.08428246
DevOps,Mobile,role,109750,100375,-0.085421412
DevOps,Data Engineer,role,109750,112750,0.027334852
DevOps,AI/ML,role,109750,107750,-0.018223235
Data Engineer,Product Management,role,112750,90000,-0.201773836
Data Engineer,Data Analyst,role,112750,85000,-0.246119734
Data Engineer,Designer,role,112750,85125,-0.245011086
Data Engineer,Backend,role,112750,100500,-0.10864745
Data Engineer,Automation QA,role,112750,101500,-0.099778271
Data Engineer,Full Stack,role,112750,100500,-0.10864745
Data Engineer,Frontend,role,112750,100500,-0.10864745
Data Engineer,Mobile,role,112750,100375,-0.109756098
Data Engineer,DevOps,role,112750,109750,-0.026607539
Data Engineer,AI/ML,role,112750,107750,-0.044345898
AI/ML,Product Management,role,107750,90000,-0.164733179
AI/ML,Data Analyst,role,107750,85000,-0.211136891
AI/ML,Designer,role,107750,85125,-0.209976798
AI/ML,Backend,role,107750,100500,-0.067285383
AI/ML,Automation QA,role,107750,101500,-0.05800464
AI/ML,Full Stack,role,107750,100500,-0.067285383
AI/ML,Frontend,role,107750,100500,-0.067285383
AI/ML,Mobile,role,107750,100375,-0.068445476
